Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
1:14:01,10000,100000,0.130676,0.111806,0.000974,0.114277,0.122855,0.001267,0.147917,7.567175,0.046576,0.039770,15.051184,0.019332,0.145532,6.328717,0.042288,0.032955,0.144070,0.000224,0.000000
1:17:26,10100,100000,0.121344,0.105092,0.001711,0.106079,0.099979,0.001235,0.162179,8.886705,0.043214,0.034295,17.561302,0.017427,0.158646,8.549918,0.040688,0.033738,0.436766,0.000211,0.000000
1:17:58,10200,100000,0.102380,0.141369,0.001961,0.108517,0.115773,0.001864,0.148035,13.659685,0.040315,0.035092,19.195221,0.014772,0.145213,3.561559,0.034089,0.030389,0.268059,0.000082,0.000000
1:18:32,10300,100000,0.124832,0.105358,0.000769,0.120711,0.101791,0.000801,0.165316,18.786808,0.038202,0.030800,19.513018,0.024049,0.163834,17.120728,0.033428,0.025573,0.662149,0.000221,0.000000
1:19:04,10400,100000,0.115993,0.137081,0.001222,0.119651,0.119161,0.001232,0.145246,13.038130,0.033982,0.026337,16.791636,0.018838,0.141718,5.699576,0.028467,0.022903,0.311941,0.000145,0.000000
1:19:36,10500,100000,0.131684,0.110906,0.002267,0.114491,0.124347,0.002025,0.141290,12.478132,0.042854,0.036200,16.447838,0.019323,0.136758,12.565018,0.034830,0.028240,0.349173,0.000112,0.000000
1:20:21,10600,100000,0.122809,0.116538,0.001957,0.116476,0.108309,0.001289,0.148779,13.378197,0.036917,0.029530,18.217541,0.018228,0.150990,11.760786,0.034477,0.027368,0.631455,0.000107,0.000000
1:20:54,10700,100000,0.129302,0.120134,0.001772,0.124726,0.118205,0.001402,0.141115,3.721350,0.043408,0.037122,17.723406,0.021408,0.140604,5.445645,0.036260,0.030939,0.279016,0.000135,0.000000
1:21:49,10800,100000,0.126072,0.120687,0.002498,0.112519,0.113464,0.002410,0.161337,14.903238,0.042949,0.033485,17.800795,0.021085,0.154273,9.273232,0.038357,0.029474,0.208628,0.000140,0.000000
1:22:23,10900,100000,0.155704,0.125958,0.001674,0.140909,0.117716,0.001800,0.143152,9.819170,0.042804,0.036491,19.110779,0.017349,0.145607,11.410580,0.037863,0.029736,0.251948,0.000137,0.000000
1:22:54,11000,100000,0.137765,0.105899,0.001515,0.123826,0.113208,0.001497,0.147716,13.698906,0.050205,0.040402,18.783958,0.017436,0.149061,6.268552,0.043039,0.035767,0.406507,0.000075,0.000000
1:23:41,11100,100000,0.121944,0.123181,0.001808,0.116756,0.126687,0.001840,0.136545,4.620636,0.037229,0.029206,16.298664,0.018566,0.130565,9.763527,0.033644,0.026724,0.220692,0.000104,0.000000
1:24:13,11200,100000,0.124473,0.135461,0.000777,0.122018,0.132886,0.000990,0.126700,16.388737,0.037925,0.034546,16.474659,0.018950,0.125770,5.334469,0.034064,0.026760,0.514528,0.000136,0.000000
1:24:45,11300,100000,0.150056,0.097508,0.001722,0.125641,0.113339,0.001896,0.141553,10.938954,0.048503,0.040561,19.051311,0.024163,0.134280,9.584098,0.041542,0.034251,0.361574,0.000144,0.000000
1:25:17,11400,100000,0.126606,0.104399,0.002445,0.103476,0.108940,0.002061,0.156641,10.382772,0.044027,0.038033,16.294140,0.017257,0.155862,7.023027,0.037584,0.031410,0.212997,0.000122,0.000000
1:25:49,11500,100000,0.112994,0.150804,0.001141,0.131867,0.113552,0.001245,0.154080,6.230951,0.039887,0.034284,20.530739,0.015564,0.152517,6.363965,0.034709,0.028753,0.231064,0.000214,0.000000
1:26:37,11600,100000,0.157568,0.113046,0.000841,0.113444,0.127935,0.001667,0.124351,18.536915,0.044605,0.039354,16.211853,0.020439,0.125955,3.006348,0.039959,0.034722,0.272489,0.000300,0.000000
1:27:09,11700,100000,0.125928,0.134385,0.000758,0.126352,0.122138,0.000788,0.137009,16.392300,0.047952,0.034895,11.949357,0.015543,0.134586,6.505472,0.033873,0.029288,0.204110,0.000159,0.000000
1:28:04,11800,100000,0.121102,0.128558,0.001302,0.112198,0.125730,0.001098,0.128455,9.044370,0.046762,0.042690,16.024673,0.018732,0.129272,6.262245,0.036717,0.032514,0.275014,0.000126,0.000000
1:28:36,11900,100000,0.121197,0.116367,0.001512,0.109589,0.123690,0.001454,0.142921,15.374265,0.043422,0.036377,15.585243,0.017077,0.142054,2.565989,0.043862,0.034223,0.615169,0.000192,0.000000
1:29:08,12000,100000,0.143288,0.107451,0.001510,0.105980,0.117712,0.001289,0.144471,6.743514,0.054792,0.049058,12.941811,0.018259,0.144242,0.389892,0.044837,0.039241,0.137602,0.000083,0.000000
1:32:39,12100,100000,0.117758,0.136815,0.000407,0.122299,0.129079,0.000450,0.129267,10.912997,0.036608,0.031220,14.802563,0.015845,0.130389,4.467894,0.032646,0.025851,0.285558,0.000060,0.000000
1:33:10,12200,100000,0.127532,0.111254,0.003150,0.096831,0.114304,0.002338,0.150514,2.979815,0.040051,0.033261,15.616100,0.016283,0.149197,3.387025,0.035830,0.027939,0.272009,0.000085,0.000000
1:33:42,12300,100000,0.161783,0.124049,0.000485,0.144803,0.117143,0.000624,0.140902,8.826212,0.029431,0.024879,20.039753,0.020509,0.140406,5.594268,0.028676,0.022553,0.494500,0.000184,0.000000
1:34:14,12400,100000,0.110529,0.146281,0.001662,0.115048,0.133732,0.001779,0.125320,12.222790,0.039691,0.033189,14.529337,0.016554,0.125560,1.964850,0.036717,0.029886,0.433653,0.000102,0.000000
1:34:47,12500,100000,0.146921,0.093745,0.000752,0.130811,0.104511,0.000982,0.144110,11.926314,0.043756,0.034732,19.989014,0.020112,0.147902,9.262144,0.040421,0.029544,0.323527,0.000205,0.000000
1:35:32,12600,100000,0.122548,0.131731,0.001177,0.118930,0.121641,0.000935,0.146249,12.211417,0.032364,0.027888,14.668018,0.013457,0.144552,2.403110,0.031092,0.023198,0.052174,0.000098,0.000000
1:36:04,12700,100000,0.122665,0.124359,0.001721,0.119294,0.119997,0.001518,0.132686,11.605090,0.045736,0.037035,22.884418,0.020418,0.136366,11.920475,0.037945,0.029336,0.197417,0.000138,0.000000
1:36:57,12800,100000,0.120530,0.126826,0.002331,0.122566,0.119851,0.002052,0.147141,8.628014,0.047266,0.039617,15.085346,0.022267,0.141833,16.278137,0.042986,0.034587,0.256869,0.000315,0.000000
1:37:28,12900,100000,0.113690,0.108182,0.000623,0.105176,0.113565,0.000608,0.157311,14.716713,0.035243,0.029603,24.964447,0.018415,0.156923,8.158607,0.036506,0.027534,0.490709,0.000051,0.000000
