Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:31:19,21300,100000,0.101520,0.089023,0.025084,0.101269,0.076270,0.024339,0.214430,0.037914,7.600253,0.009710,0.009653,0.100234,0.001080,0.207084,0.512597,9.205120,0.009005,0.009092,1.636547,0.000098,0.000000,0.100000,0.000000
0:31:57,21400,100000,0.125779,0.075567,0.029931,0.090134,0.135609,0.019982,0.163128,0.096099,4.929204,0.013726,0.013465,0.103048,0.001271,0.132600,1.264262,5.107894,0.012427,0.012064,1.247103,0.000081,0.000000,0.100000,0.000000
0:32:33,21500,100000,0.119630,0.041832,0.033006,0.079851,0.083744,0.015674,0.284537,0.558063,8.398142,0.014393,0.015188,0.123671,0.001388,0.226950,1.760214,3.552625,0.013912,0.013932,1.986247,0.000187,0.000000,0.100000,0.000000
0:33:48,21600,100000,0.111353,0.076772,0.014887,0.092181,0.115343,0.013482,0.191401,1.462402,7.694823,0.012985,0.012719,0.100019,0.001181,0.160572,0.007591,0.165582,0.011923,0.011642,1.510174,0.000138,0.000000,0.100000,0.000000
0:34:25,21700,100000,0.099929,0.079995,0.028356,0.086623,0.106322,0.022159,0.187440,2.095399,8.504530,0.011745,0.011623,0.110303,0.001052,0.159347,1.002076,8.334750,0.011821,0.011199,0.291466,0.000070,0.000000,0.100000,0.000000
0:35:02,21800,100000,0.132783,0.079297,0.018100,0.099408,0.109446,0.019556,0.197381,1.575549,7.555235,0.009853,0.010607,0.119541,0.001334,0.177141,11.932669,9.062536,0.008931,0.009545,0.502010,0.000086,0.000000,0.100000,0.000000
0:35:39,21900,100000,0.077605,0.061020,0.020521,0.055495,0.072558,0.025939,0.270060,0.238031,7.328715,0.014842,0.015221,0.102089,0.001224,0.235583,0.553858,6.929307,0.013372,0.014200,1.601537,0.000113,0.000000,0.100000,0.000000
0:36:16,22000,100000,0.083767,0.060821,0.031684,0.068878,0.095010,0.027525,0.254234,1.290067,10.434752,0.012438,0.011831,0.119984,0.001009,0.226924,3.643477,8.703274,0.012015,0.011278,0.124590,0.000358,0.000000,0.100000,0.000000
0:45:06,22100,100000,0.093505,0.100596,0.019767,0.086654,0.115032,0.017402,0.169895,3.331925,3.991129,0.010435,0.010783,0.117570,0.001088,0.151755,0.297959,3.305218,0.010431,0.010660,0.037030,0.000061,0.000000,0.100000,0.000000
0:45:43,22200,100000,0.098351,0.077254,0.018122,0.088543,0.084828,0.011632,0.261189,2.359969,7.083505,0.008133,0.008935,0.099663,0.001123,0.216271,0.218985,4.216967,0.007947,0.008508,0.370062,0.000192,0.000000,0.100000,0.000000
0:46:21,22300,100000,0.142243,0.084725,0.013868,0.105573,0.124284,0.013452,0.154348,1.332904,6.685485,0.008721,0.009135,0.096422,0.001030,0.136082,1.431849,2.600151,0.008686,0.008924,0.079716,0.000181,0.000000,0.100000,0.000000
0:46:58,22400,100000,0.081256,0.083849,0.035274,0.081864,0.098496,0.028271,0.198558,3.759721,9.991663,0.013749,0.014470,0.096875,0.001023,0.164729,6.372131,6.250304,0.013820,0.014160,0.506585,0.000302,0.000000,0.100000,0.000000
0:47:35,22500,100000,0.114433,0.089718,0.016166,0.104438,0.113947,0.016266,0.177894,0.191528,8.174607,0.009171,0.009203,0.111039,0.001104,0.145356,0.000071,2.027007,0.008911,0.008707,0.348629,0.000123,0.000000,0.100000,0.000000
0:48:28,22600,100000,0.095112,0.090505,0.024995,0.100237,0.103096,0.022379,0.203256,2.838846,8.996019,0.010591,0.010972,0.110056,0.001049,0.161553,0.068768,8.018563,0.010850,0.010613,0.375713,0.000221,0.000000,0.100000,0.000000
0:49:05,22700,100000,0.085082,0.100836,0.031658,0.106429,0.087356,0.042713,0.170890,0.000024,8.753769,0.009671,0.009908,0.117202,0.000941,0.151670,0.004394,8.165598,0.009301,0.009526,0.140714,0.000212,0.000000,0.100000,0.000000
0:50:05,22800,100000,0.109913,0.074890,0.016435,0.096908,0.113998,0.014731,0.195831,0.064477,9.527906,0.010024,0.010001,0.113321,0.001508,0.150917,0.224579,2.632907,0.009691,0.009609,0.095195,0.000202,0.000000,0.100000,0.000000
0:50:43,22900,100000,0.134458,0.076968,0.015661,0.101983,0.124489,0.013208,0.171968,0.009218,8.273666,0.009496,0.009702,0.108245,0.000991,0.140779,0.000978,3.216398,0.009079,0.009135,0.055420,0.000063,0.000000,0.100000,0.000000
0:51:20,23000,100000,0.126143,0.097969,0.011313,0.112643,0.107780,0.013149,0.195163,0.000060,6.798127,0.009050,0.008912,0.092672,0.000838,0.168218,0.000011,8.779322,0.008622,0.008162,0.034618,0.000118,0.000000,0.100000,0.000000
0:52:11,23100,100000,0.102829,0.096980,0.018881,0.107447,0.095711,0.017245,0.193018,0.218011,12.068303,0.010507,0.010697,0.102450,0.001003,0.167329,0.001816,6.191967,0.010578,0.010527,0.111222,0.000179,0.000000,0.100000,0.000000
0:52:48,23200,100000,0.102180,0.097022,0.035967,0.093568,0.112086,0.024799,0.153084,1.227542,7.379139,0.010513,0.010634,0.106115,0.001094,0.142961,0.859361,4.869218,0.010118,0.010236,0.656182,0.000090,0.000000,0.100000,0.000000
0:53:24,23300,100000,0.119032,0.087927,0.007981,0.111067,0.075725,0.008518,0.296138,0.897224,12.078817,0.006976,0.007385,0.095146,0.000903,0.257331,0.450363,8.241117,0.006979,0.007231,0.120497,0.000266,0.000000,0.100000,0.000000
0:54:02,23400,100000,0.099481,0.100986,0.021103,0.096927,0.105382,0.018162,0.165810,0.466990,7.492914,0.011125,0.011735,0.098935,0.000845,0.152779,0.251873,9.203858,0.011231,0.011213,0.219981,0.000291,0.000000,0.100000,0.000000
0:54:39,23500,100000,0.093590,0.093860,0.023247,0.085726,0.120188,0.020878,0.174195,1.074270,5.644759,0.012513,0.012750,0.097436,0.000985,0.143750,3.297940,4.088596,0.012602,0.012202,1.213703,0.000217,0.000000,0.100000,0.000000
