Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
2:34:53,11000,100000,0.181748,0.158420,0.061101,0.148225,0.181555,0.054415,0.372472,0.013291,0.013849,0.166188,0.001292,0.328186,0.013490,0.013439,0.000041,0.000001,0.890000
2:43:46,11100,100000,0.194380,0.174984,0.042059,0.182612,0.181641,0.040739,0.362979,0.011822,0.012548,0.170009,0.001665,0.343468,0.011532,0.012349,0.000093,0.000001,0.889000
2:44:22,11200,100000,0.250431,0.196325,0.028767,0.236675,0.189554,0.025776,0.338673,0.008516,0.008357,0.160978,0.002131,0.336498,0.008351,0.008443,0.000047,0.000001,0.888000
2:44:58,11300,100000,0.206646,0.227419,0.032736,0.236326,0.159023,0.039521,0.346140,0.011368,0.011893,0.168356,0.002970,0.331021,0.011043,0.012237,0.000172,0.000000,0.887000
2:45:37,11400,100000,0.204197,0.216502,0.027249,0.196255,0.164703,0.044658,0.368903,0.016987,0.015214,0.144149,0.002336,0.382499,0.018864,0.016168,0.000130,0.000001,0.886000
0:01:04,11100,100000,0.214535,0.164953,0.037642,0.144778,0.200266,0.036424,0.341024,0.012527,0.012368,0.174169,0.001607,0.338573,0.011886,0.011665,0.000117,0.000000,0.889000
0:01:39,11200,100000,0.178803,0.277120,0.023480,0.212331,0.211187,0.028243,0.312705,0.008892,0.010649,0.175363,0.002131,0.298722,0.008743,0.010601,0.000314,0.000000,0.888000
0:02:14,11300,100000,0.225396,0.215500,0.022506,0.191418,0.212550,0.021556,0.352515,0.008868,0.010206,0.157624,0.002954,0.315920,0.008627,0.010103,0.000611,0.000002,0.887000
0:02:48,11400,100000,0.198666,0.236385,0.049365,0.180334,0.204093,0.029689,0.329913,0.010880,0.010762,0.154325,0.001797,0.333794,0.011123,0.010535,0.000040,0.000000,0.886000
0:03:23,11500,100000,0.336734,0.227359,0.018692,0.291506,0.190122,0.018455,0.336328,0.008296,0.008315,0.151756,0.001991,0.331683,0.008126,0.008439,0.000350,0.000001,0.885000
0:03:59,11600,100000,0.200495,0.255134,0.023194,0.237894,0.164455,0.025604,0.325037,0.011092,0.010886,0.155481,0.002336,0.313348,0.010565,0.010748,0.000513,0.000001,0.884000
0:04:34,11700,100000,0.199745,0.232952,0.036123,0.175882,0.222401,0.027322,0.313424,0.012928,0.012696,0.182062,0.002949,0.323555,0.013737,0.012688,0.000159,0.000001,0.883000
0:05:08,11800,100000,0.204356,0.199174,0.038513,0.217164,0.163979,0.042541,0.313003,0.013126,0.012906,0.164277,0.003649,0.318734,0.012464,0.012184,0.000068,0.000001,0.882000
0:05:43,11900,100000,0.160787,0.240127,0.038920,0.215156,0.159276,0.042402,0.295396,0.014157,0.013243,0.181213,0.002885,0.303128,0.013306,0.012861,0.000078,0.000000,0.881000
0:06:18,12000,100000,0.139559,0.292363,0.048460,0.139567,0.242932,0.031980,0.290155,0.010766,0.011466,0.144011,0.002737,0.291187,0.010688,0.011304,0.000062,0.000001,0.880000
0:15:53,12100,100000,0.230556,0.235807,0.025628,0.185043,0.217593,0.018822,0.312108,0.010304,0.011232,0.167077,0.002983,0.304613,0.010097,0.010912,0.000126,0.000002,0.879000
