Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
1:28:31,63400,-0.8225,0.2982,0.5891,0.0034,2.7049,-0.2130,0.0535,0.1319,2.6416,0.0432
1:28:35,63500,-0.2557,-0.4255,0.2057,0.0072,2.8038,0.3472,0.0553,0.0242,2.8648,0.0425
1:28:40,63600,-0.3947,-0.1432,0.1714,0.0055,2.7552,0.1541,0.0614,0.0120,2.7769,0.0437
1:28:44,63700,-0.8600,0.1193,0.0325,0.0035,2.7459,-0.1399,0.0517,0.1421,2.6687,0.0407
1:28:49,63800,-1.2459,0.4318,0.0572,0.0077,2.7437,-0.2550,0.0572,0.0244,2.7563,0.0474
1:28:53,63900,-0.3315,-0.0844,0.1261,0.0017,2.7861,0.1025,0.0521,0.1000,2.7273,0.0364
1:28:58,64000,-0.4026,-0.0365,0.0313,0.0033,2.8976,0.0612,0.0578,0.1824,2.8367,0.0416
1:29:24,64100,-0.1563,-0.2182,0.4280,0.0040,2.6936,0.1745,0.0533,0.0493,2.7167,0.0333
1:29:28,64200,-0.6263,0.1145,0.0779,0.0023,2.7281,-0.1045,0.0464,0.0194,2.7286,0.0352
1:29:33,64300,-0.6607,0.1671,0.0583,0.0055,2.8477,-0.1659,0.0455,0.1053,2.8073,0.0339
1:29:37,64400,-0.6943,0.2837,0.0246,0.0044,2.7089,-0.2626,0.0447,0.0180,2.6881,0.0344
1:29:42,64500,-0.3022,-0.2870,0.0315,0.0055,2.7045,0.3220,0.0500,0.1098,2.7323,0.0401
1:29:46,64600,-0.8214,0.2295,0.0188,0.0075,2.7942,-0.1942,0.0612,0.2468,2.7539,0.0464
1:29:51,64700,-0.6943,0.0487,0.0695,0.0041,2.8313,-0.0207,0.0591,0.3677,2.8666,0.0520
1:29:55,64800,-0.1983,-0.3299,0.1114,0.0098,2.7330,0.3185,0.0612,0.1454,2.7938,0.0430
1:30:00,64900,-0.3173,-0.0677,0.4010,0.0070,2.8184,0.1088,0.0517,0.0167,2.8225,0.0393
1:30:04,65000,-0.8633,0.1040,0.2688,0.0049,2.7094,-0.0874,0.0663,0.0196,2.7023,0.0494
1:30:30,65100,-0.8341,0.2636,0.1599,0.0084,2.6806,-0.1938,0.0523,0.0109,2.7050,0.0440
1:30:35,65200,-0.7675,0.0445,0.0050,0.0048,2.8375,-0.0361,0.0650,0.0207,2.8592,0.0494
1:30:39,65300,-0.3646,-0.2166,0.2879,0.0133,2.6573,0.2067,0.0536,0.0608,2.6906,0.0398
1:30:44,65400,-0.6835,0.2184,0.5171,0.0048,2.7145,-0.1761,0.0460,0.0601,2.6802,0.0365
1:30:48,65500,-0.7752,-0.0373,0.0982,0.0118,2.7846,0.1076,0.0637,0.0922,2.7303,0.0462
1:30:52,65600,-0.3963,-0.1562,0.1500,0.0046,2.7614,0.1495,0.0622,0.0040,2.7151,0.0415
1:30:57,65700,-0.6587,0.1151,0.1453,0.0042,2.7375,-0.1352,0.0555,0.0438,2.6362,0.0465
1:31:02,65800,-0.2711,-0.1804,0.0092,0.0048,2.8321,0.1935,0.0460,0.3855,2.6774,0.0351
