Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:19:57,17400,-0.0671,-0.2213,0.0748,0.0013,2.7077,0.2305,0.0378,0.0197,2.6670
0:20:01,17500,-0.1608,-0.1342,0.0154,0.0010,2.6612,0.1492,0.0356,0.0039,2.7361
0:20:05,17600,-0.1415,-0.1277,0.0129,0.0027,2.7625,0.1247,0.0448,0.0013,2.7422
0:20:10,17700,-0.0650,-0.1628,0.0618,0.0044,2.7127,0.1847,0.0393,0.0242,2.7359
0:20:15,17800,-0.0934,-0.1322,0.0627,0.0031,2.7397,0.1314,0.0324,0.0063,2.7186
0:20:19,17900,-0.1091,-0.1412,0.0266,0.0038,2.7346,0.1991,0.0427,0.0020,2.7723
0:20:24,18000,-0.1086,-0.1889,0.0127,0.0052,2.7398,0.1981,0.0370,0.0018,2.7966
0:20:41,18100,-0.1678,-0.0237,0.0545,0.0047,2.7333,0.0387,0.0336,0.0011,2.7696
0:20:45,18200,-0.2020,-0.0499,0.0244,0.0050,2.7298,0.0616,0.0397,0.0025,2.6937
0:20:50,18300,-0.0884,-0.1372,0.0224,0.0044,2.7012,0.1501,0.0326,0.0023,2.7179
0:20:54,18400,-0.1467,-0.3215,0.1825,0.0041,2.7610,0.2457,0.0689,0.0015,2.7709
0:20:59,18500,-0.0973,-0.2229,0.1391,0.0035,2.7059,0.1917,0.0405,0.0062,2.7074
0:21:03,18600,-0.0476,-0.1834,0.0736,0.0033,2.6696,0.2131,0.0347,0.2309,2.7259
0:21:08,18700,-0.1539,-0.1820,0.0613,0.0029,2.6526,0.1976,0.0417,0.0005,2.7420
0:21:13,18800,-0.1894,-0.1327,0.0227,0.0016,2.7843,0.1435,0.0459,0.0018,2.7643
0:21:17,18900,-0.2101,-0.0161,0.2151,0.0027,2.7103,0.0619,0.0393,0.0043,2.7603
0:21:22,19000,-0.1819,-0.0736,0.0063,0.0022,2.6991,0.0758,0.0451,0.0081,2.6435
0:21:39,19100,-0.1451,-0.0653,0.0061,0.0020,2.7091,0.0782,0.0313,0.0098,2.7318
0:21:44,19200,-0.1723,-0.0816,0.0008,0.0039,2.7322,0.1210,0.0389,0.0004,2.7622
0:21:48,19300,-0.1677,-0.0342,0.0512,0.0023,2.7020,0.0517,0.0324,0.0159,2.7030
0:21:53,19400,-0.1555,-0.0654,0.1518,0.0051,2.7067,0.1194,0.0341,0.0025,2.6839
0:21:57,19500,-0.0906,-0.0746,0.0385,0.0036,2.6973,0.0875,0.0313,0.0015,2.7029
0:22:02,19600,-0.2239,-0.0978,0.0011,0.0031,2.7035,0.0837,0.0370,0.0031,2.7103
0:22:07,19700,-0.1436,-0.0756,0.0493,0.0034,2.7388,0.0941,0.0350,0.0003,2.7014
0:22:11,19800,-0.1548,-0.0922,0.0019,0.0054,2.7564,0.0738,0.0359,0.1733,2.7533
0:22:16,19900,-0.1420,-0.0553,0.0017,0.0109,2.7227,0.0574,0.0328,0.0002,2.7379
0:22:20,20000,-0.1355,-0.0574,0.1030,0.0038,2.7661,0.0878,0.0395,0.0007,2.7650
0:25:40,20100,-0.1542,-0.0742,0.0222,0.0049,2.7040,0.0743,0.0414,0.0044,2.7070
0:25:45,20200,-0.0193,-0.2114,0.0249,0.0064,2.7075,0.2219,0.0367,0.0002,2.7499
0:25:49,20300,-0.2267,0.0076,0.0029,0.0046,2.7627,0.0158,0.0362,0.0006,2.7967
0:25:53,20400,-0.1936,-0.0292,0.0017,0.0045,2.6783,0.0592,0.0351,0.0038,2.6420
0:25:58,20500,-0.0667,-0.1233,0.0865,0.0032,2.7453,0.1288,0.0386,0.0019,2.7114
0:26:02,20600,-0.2023,-0.0166,0.0076,0.0093,2.7513,0.0816,0.0332,0.0132,2.7047
0:26:07,20700,-0.0814,-0.0713,0.0002,0.0043,2.7363,0.0654,0.0327,0.0004,2.7245
0:26:11,20800,-0.1636,-0.0527,0.0029,0.0062,2.7578,0.1063,0.0347,0.0024,2.7580
0:26:16,20900,-0.1753,-0.0226,0.1288,0.0039,2.7148,0.0636,0.0353,0.0067,2.7000
0:26:20,21000,-0.1487,-0.0940,0.0192,0.0043,2.7749,0.1096,0.0401,0.0054,2.7664
0:26:37,21100,-0.1221,-0.0545,0.0007,0.0031,2.7706,0.0366,0.0312,0.0031,2.7036
0:26:42,21200,-0.0372,-0.1069,0.0032,0.0058,2.6944,0.1494,0.0292,0.0061,2.7025
0:26:46,21300,-0.1703,-0.0363,0.0122,0.0047,2.7312,0.0699,0.0363,0.0024,2.7262
0:26:51,21400,-0.2182,-0.0454,0.0158,0.0020,2.7396,0.0558,0.0421,0.0169,2.6951
0:26:55,21500,-0.1258,-0.4198,0.0071,0.0090,2.6850,0.3619,0.0626,0.0003,2.6722
0:27:00,21600,-0.0954,-0.2986,0.0086,0.0017,2.7214,0.3106,0.0459,0.0076,2.7585
0:27:04,21700,-0.1747,-0.0853,0.0050,0.0036,2.6872,0.0904,0.0400,0.0018,2.7020
0:27:09,21800,-0.1341,-0.1418,0.0087,0.0015,2.6724,0.1584,0.0393,0.0010,2.6717
0:27:13,21900,-0.0234,-0.2814,0.0634,0.0055,2.7110,0.2713,0.0532,0.1322,2.6967
0:27:18,22000,-0.0946,-0.0595,0.0057,0.0041,2.6591,0.0710,0.0364,0.0004,2.6997
0:27:35,22100,-0.0840,-0.2176,0.0102,0.0037,2.7258,0.2520,0.0460,0.0299,2.7239
0:27:40,22200,-0.1560,-0.1191,0.0027,0.0023,2.7544,0.1204,0.0377,0.0024,2.7735
0:27:44,22300,-0.1788,-0.0199,0.0026,0.0031,2.6543,0.0145,0.0359,0.0014,2.6420
0:27:49,22400,-0.1516,-0.0939,0.0009,0.0030,2.7011,0.1212,0.0389,0.0016,2.7345
0:27:53,22500,0.0241,-0.3284,0.0004,0.0038,2.6122,0.3177,0.0553,0.0007,2.5819
0:27:58,22600,-0.1078,-0.0975,0.0434,0.0060,2.6378,0.1156,0.0461,0.1025,2.6221
0:28:02,22700,-0.2317,-0.0752,0.0606,0.0024,2.7236,0.0605,0.0418,0.0010,2.7415
0:28:07,22800,-0.1623,-0.1230,0.0076,0.0061,2.7064,0.1387,0.0404,0.0015,2.6842
0:28:11,22900,-0.1303,-0.0400,0.0033,0.0036,2.6280,0.0835,0.0400,0.0001,2.6864
0:28:16,23000,-0.1613,-0.0530,0.0205,0.0049,2.7654,0.0060,0.0443,0.0000,2.7299
0:28:33,23100,-0.1977,-0.0417,0.0255,0.0029,2.7039,0.0733,0.0423,0.0031,2.6640
0:28:38,23200,-0.1219,-0.1202,0.0046,0.0051,2.6683,0.1074,0.0363,0.0018,2.6572
0:28:42,23300,-0.3537,0.0848,0.0006,0.0032,2.6428,-0.0548,0.0374,0.0301,2.6782
0:28:47,23400,-0.1233,-0.0557,0.0084,0.0026,2.7017,0.0494,0.0339,0.0122,2.6917
0:28:51,23500,-0.3686,0.0857,0.0286,0.0022,2.7086,0.0311,0.0443,0.0031,2.7060
0:28:56,23600,-0.2022,-0.0551,0.0220,0.0019,2.6995,0.0524,0.0351,0.0008,2.7406
0:29:00,23700,-0.1981,-0.0099,0.0032,0.0023,2.6824,0.0127,0.0365,0.0005,2.6742
0:29:05,23800,-0.2712,0.0204,0.0223,0.0044,2.7118,0.0290,0.0516,0.0015,2.7070
0:29:10,23900,-0.1326,-0.0723,0.0007,0.0023,2.6415,0.0835,0.0354,0.0003,2.6910
